QueryID AssessorID DocID Grade
"Elizabeth Warren platform" Dhyey https://www.politico.com/news/2020/01/29/warren-plan-election-disinformation-2020-108854 1
"Elizabeth Warren platform" Dhyey https://civicskunk.works/a-civic-take-elizabeth-warren-is-right-these-arent-your-granddaddy-s-monopolies-1f8aa2664b79 2
"Elizabeth Warren platform" Dhyey https://www.aei.org/technology-and-innovation/a-darker-side-of-elizabeth-warrens-war-on-tech 0
"Elizabeth Warren platform" Dhyey https://medium.com/@jacobflowers/elizabeth-warren-is-not-a-sell-out-d7ec76469aa5 2
"Elizabeth Warren platform" Dhyey https://medium.com/tag/elizabeth-warren/archive/2019/09/25 1
"Elizabeth Warren platform" Dhyey https://tech.co/news/elizabeth-warren-break-tech-companies-2019-03 0
"Elizabeth Warren platform" Dhyey https://pjmedia.com/trending/elizabeth-warren-proposes-orwellian-criminal-penalties-for-spreading-disinformation-online 2
"Elizabeth Warren platform" Dhyey https://www.nbcnews.com/politics/2016-election/trump-calls-elizabeth-warren-racist-total-fraud-n599796 1
"Elizabeth Warren platform" Dhyey http://www.nbcnews.com/politics/2016-election/trump-calls-elizabeth-warren-racist-total-fraud-n599796 0
"Elizabeth Warren platform" Dhyey https://politicsdoneright.com/tag/elizabeth-warren/page/2 2
"Elizabeth Warren platform" Dhyey https://qz.com/1568851/elizabeth-warrens-plans-for-breaking-up-amazon-and-google 1
"Elizabeth Warren platform" Dhyey https://www.elizabethwarren.com/plans/fighting-digital-disinformation 0
"Elizabeth Warren platform" Dhyey http://www.elizabethwarren.com/plans/fighting-digital-disinformation 2
"Elizabeth Warren platform" Dhyey https://elizabethwarren.com/plans/fighting-digital-disinformation 1
"Elizabeth Warren platform" Dhyey http://elizabethwarren.com/plans/fighting-digital-disinformation 0
"Elizabeth Warren platform" Dhyey https://2020.elizabethwarren.com/plans/fighting-digital-disinformation 2
"Elizabeth Warren platform" Dhyey https://dailycaller.com/2019/03/24/kolb-warren-hitchens 1
"Elizabeth Warren platform" Dhyey http://dailycaller.com/2019/03/24/kolb-warren-hitchens 0
"Elizabeth Warren platform" Dhyey https://www.theguardian.com/us-news/2019/jun/02/elizabeth-warren-san-francisco-democrats-virginia-beach-shooting 2
"Elizabeth Warren platform" Dhyey https://medium.com/@nikhilgehani/these-two-are-not-the-same-bernie-sanders-and-elizabeth-warren-57b5be76fbe6 1
"Elizabeth Warren platform" Dhyey http://dailycaller.com/2021/01/29/warren-calls-sec-securities-markets-reflect-value 0
"Elizabeth Warren platform" Dhyey https://dailycaller.com/2021/01/29/warren-calls-sec-securities-markets-reflect-value 2
"Elizabeth Warren platform" Dhyey https://www.reuters.com/news/archive/us-elections-2020-warren 1
"Elizabeth Warren platform" Dhyey https://www.axios.com/warren-biden-influence-policies-76513650-bf21-4f32-8ca5-68802b35ebe9.html 0
"Elizabeth Warren platform" Dhyey https://www.boston.com/uncategorized/noprimarytagmatch/2012/12/12/elizabeth-warren-gets-picked-for-banking-aging-and-health-committees 0
"Elizabeth Warren platform" Dhyey https://www.bostonherald.com/2019/10/01/mark-zuckerberg-elizabeth-warren-spat-shows-cracks-in-liberal-silicon-valley 0
"Elizabeth Warren platform" Dhyey https://www.bostonmagazine.com/news/2016/06/20/elizabeth-warren-clinton-wall-street 1
"Elizabeth Warren platform" Dhyey https://www.cnet.com/news/apple-joins-list-of-warrens-tech-breakup-targets 1
"Elizabeth Warren platform" Dhyey https://medium.com/@jwgarman2/elizabeth-warren-good-on-domestic-but-a-couple-of-questions-4d708623cc52 0
"Elizabeth Warren platform" Dhyey https://observer.com/2022/11/big-banks-blink-on-zelle-scams-maybe-elizabeth-warren-was-right-after-all 0
"Elizabeth Warren platform" Dhyey https://www.cbsnews.com/boston/news/elizabeth-warren-donald-trump-jon-keller-wbz 1
"Elizabeth Warren platform" Dhyey https://www.cnn.com/2019/01/31/politics/elizabeth-warren-2020-announcement/index.html 1
"Elizabeth Warren platform" Dhyey https://www.mercurynews.com/2019/10/04/mark-zuckerberg-will-try-not-to-antagonize-elizabeth-warren-further 0
"Elizabeth Warren platform" Dhyey https://reason.com/2022/04/01/elizabeth-warren-compares-buying-bitcoin-to-buying-air/printer 2
"Elizabeth Warren platform" Dhyey https://www.warren.senate.gov/oversight/letters/senators-warren-warner-brown-reed-express-concerns-to-treasury-regarding-potential-use-of-cryptocurrency-to-evade-sanctions 2
"Elizabeth Warren platform" Dhyey https://crooksandliars.com/2019/05/snl-elizabeth-warren-visits-explain 2
"Elizabeth Warren platform" Dhyey http://crooksandliars.com/2019/05/snl-elizabeth-warren-visits-explain 2
"Elizabeth Warren platform" Dhyey https://www.foxnews.com/politics/trolls-flood-dnc-native-american-event-elizabeth-warren.print 2
"Elizabeth Warren platform" Dhyey https://www.boston.com/news/coronavirus/2020/04/23/elizabeth-warren-brother-coronavirus 2
"Elizabeth Warren platform" Dhyey https://www.cbsnews.com/boston/news/elizabeth-warren-comic-book-senator-female-force-storm-entertainment-darren-davis 2
"Elizabeth Warren platform" Dhyey http://boston.cbslocal.com/2016/04/07/elizabeth-warren-comic-book-senator-female-force-storm-entertainment-darren-davis 2
"Elizabeth Warren platform" Dhyey https://cbsnews.com/feature/elizabeth-warren/3 2
"Elizabeth Warren platform" Dhyey https://thetakeout.com/elizabeth-warren-michelob-ultra-the-club-soda-of-beers-1831462773 2
"Elizabeth Warren platform" Dhyey http://dailycaller.com/2022/02/02/elizabeth-warren-bernie-sanders-ro-khanna-uber-lyft-pro-act 2
"Elizabeth Warren platform" Dhyey https://dailycaller.com/2022/02/02/elizabeth-warren-bernie-sanders-ro-khanna-uber-lyft-pro-act 2
"Elizabeth Warren platform" Dhyey https://cbsnews.com/feature/elizabeth-warren/4 2
"Elizabeth Warren platform" Dhyey https://www.vox.com/recode/2019/10/7/20903883/elizabeth-warren-mark-zuckerberg-donald-trump-advertisements-meeting-tweets 2
"Elizabeth Warren platform" Dhyey https://www.bostonglobe.com/2020/03/05/metro/heartache-losing-elizabeth-warren 2
"Elizabeth Warren platform" Dhyey https://www.newyorker.com/news/current/elizabeth-warrens-got-a-plan-for-that 2
"Elizabeth Warren platform" Dhyey https://www.pbs.org/newshour/tag/elizabeth-warren/page/13 2
"Elizabeth Warren platform" Dhyey http://www.cbsnews.com/tag/elizabeth-warren/21 0
"Elizabeth Warren platform" Dhyey https://reason.com/2022/04/01/elizabeth-warren-compares-buying-bitcoin-to-buying-air 0
"Elizabeth Warren platform" Dhyey http://dailycaller.com/2019/02/06/instagram-kayleigh-mcenany-elizabeth-warren 1
"Elizabeth Warren platform" Dhyey https://dailycaller.com/2019/02/06/instagram-kayleigh-mcenany-elizabeth-warren 0
"Elizabeth Warren platform" Dhyey https://thehill.com/homenews/senate/536179-elizabeth-warren-weighs-in-on-the-gamestop-stock-surge 0
"Elizabeth Warren platform" Dhyey https://www.warren.senate.gov/newsroom/press-releases/housingwire-senators-warren-corker-reach-across-the-aisle-on-gse-reform 0
"Elizabeth Warren platform" Dhyey https://www.vox.com/policy-and-politics/2019/4/22/18511860/elizabeth-warren-cnn-town-hall-tech 2
"Elizabeth Warren platform" Dhyey https://www.cbsnews.com/news/jonathan-van-ness-hiv-jvn-decided-to-endorse-elizabeth-warren-for-president-because-of-the-high-cost-of-hiv-medication 1
"Elizabeth Warren platform" Dhyey http://www.cbsnews.com/tag/elizabeth-warren/71 0
"Elizabeth Warren platform" Dhyey https://thehill.com/homenews/campaign/485394-warren-drops-presidential-bid 1
"Elizabeth Warren platform" Dhyey https://dailycaller.com/2019/08/20/warren-and-sanders-bible-progressivism 0
"Elizabeth Warren platform" Dhyey http://dailycaller.com/2019/08/20/warren-and-sanders-bible-progressivism 0
"Elizabeth Warren platform" Dhyey https://www.foxnews.com/politics/trolls-flood-dnc-native-american-event-elizabeth-warren 1
"Elizabeth Warren platform" Dhyey https://variety.com/2019/politics/news/elizabeth-warren-big-tech-1203158386 0
"Elizabeth Warren platform" Dhyey https://www.boston.com/news/politics/2022/10/04/fraud-scam-cases-increasing-on-zelle-report-from-warrens-office-finds 0
"Elizabeth Warren platform" Dhyey https://www.cnbc.com/2022/10/27/sen-elizabeth-warren-requests-cfpb-investigation-into-zelle.html 2
"Elizabeth Warren platform" Dhyey https://medium.com/@voliafeonanikaci/why-im-not-ok-with-warren-2020-e6a23570919f 1
"Elizabeth Warren platform" Dhyey https://www.boston.com/news/politics/2019/12/05/elizabeth-warren-bloomberg-tv 0
"Elizabeth Warren platform" Dhyey https://www.unionleader.com/news/politics/warren-says-her-campaign-is-about-more-than-beating-trump/article_764008e2-2b89-58f6-9b3e-714a01712567.html 1
